unit_id,population_allocated,population_density_acs_label2023,gross_area_m2,supplied_acs_population,census_minus_supplied_acs,interpretation
CHI:01,55462.22153698101,11173.112209069526,4758656.228015077,53169.0,2293.2215369810074,different period and support; ACS provenance unresolved; not equality test
CHI:02,77116.42040170313,8669.617398567307,9137658.14084154,79220.0,-2103.5795982968702,different period and support; ACS provenance unresolved; not equality test
CHI:03,57181.79652465899,8716.469595217435,6043042.934366598,52674.0,4507.796524658988,different period and support; ACS provenance unresolved; not equality test
CHI:04,40488.735567119424,6367.786208545154,6623966.103541163,42180.0,-1691.2644328805764,different period and support; ACS provenance unresolved; not equality test
CHI:05,35132.103228171225,6755.663363661609,5296593.106232864,35782.0,-649.896771828775,different period and support; ACS provenance unresolved; not equality test
CHI:06,103021.23274674786,11196.529338221506,8096437.499658218,90652.0,12369.23274674786,different period and support; ACS provenance unresolved; not equality test
CHI:07,70489.86532529909,7570.366222781296,8198678.660118646,62067.00000000001,8422.865325299084,different period and support; ACS provenance unresolved; not equality test
CHI:08,105397.24795217373,12873.694434060368,7118003.341570558,91634.99999999999,13762.24795217374,different period and support; ACS provenance unresolved; not equality test
CHI:09,11522.398556165886,3880.682786499842,2937112.005044956,11398.0,124.39855616588648,different period and support; ACS provenance unresolved; not equality test
CHI:10,38253.518841203215,3539.2874001254063,11322618.219300324,40074.0,-1820.4811587967852,different period and support; ACS provenance unresolved; not equality test
CHI:11,26211.186549450682,4481.888648554988,6022237.97074972,26990.999999999996,-779.8134505493144,different period and support; ACS provenance unresolved; not equality test
CHI:12,19546.204945207366,2388.365590341921,8274696.336238334,19762.999999999996,-216.79505479263025,different period and support; ACS provenance unresolved; not equality test
CHI:13,17538.56495931982,2951.421078155573,6525331.184540938,19258.999999999996,-1720.435040680175,different period and support; ACS provenance unresolved; not equality test
CHI:14,48430.27362838336,9622.48630277646,4970648.800632658,47830.0,600.2736283833583,different period and support; ACS provenance unresolved; not equality test
CHI:15,63027.32047337859,6275.535094958752,10230362.674821751,64200.99999999999,-1173.679526621403,different period and support; ACS provenance unresolved; not equality test
CHI:16,51933.29351071703,6435.134648748903,8319173.245334982,53535.0,-1601.706489282973,different period and support; ACS provenance unresolved; not equality test
CHI:17,43127.031065861614,4423.919158217749,9617716.436107114,42547.99999999999,579.0310658616218,different period and support; ACS provenance unresolved; not equality test
CHI:18,14394.445688369802,5372.686583716673,2560171.673085884,13754.999999999998,639.445688369804,different period and support; ACS provenance unresolved; not equality test
CHI:19,78136.42700019416,7304.889035567287,10128559.056784386,73988.0,4148.427000194162,different period and support; ACS provenance unresolved; not equality test
CHI:20,24111.85617805001,7665.204303866714,3026664.271465896,23200.0,911.8561780500095,different period and support; ACS provenance unresolved; not equality test
CHI:21,36256.68496346299,7081.716685166409,5132936.209682022,36350.0,-93.31503653700929,different period and support; ACS provenance unresolved; not equality test
CHI:22,71683.36269248633,7681.67884058829,9288854.881953834,71354.0,329.3626924863347,different period and support; ACS provenance unresolved; not equality test
CHI:23,54077.22178726293,5897.679773671157,9328244.684562543,55014.99999999999,-937.7782127370592,different period and support; ACS provenance unresolved; not equality test
CHI:24,87901.14009687192,7300.420833723508,11842194.028135978,86453.0,1448.1400968719245,different period and support; ACS provenance unresolved; not equality test
CHI:25,96558.01191510794,5420.924732908369,18498319.92524273,100278.0,-3719.9880848920584,different period and support; ACS provenance unresolved; not equality test
CHI:26,17441.598690531762,4878.040618075767,3350730.606758987,16345.0,1096.5986905317623,different period and support; ACS provenance unresolved; not equality test
CHI:27,20001.533442239004,3969.198060977362,5002269.903132768,19855.0,146.53344223900422,different period and support; ACS provenance unresolved; not equality test
CHI:28,67783.01048215397,4442.880242174835,14713428.325045448,65370.0,2413.0104821539717,different period and support; ACS provenance unresolved; not equality test
CHI:29,34778.06522215354,3653.864501290264,8307642.494482472,30355.0,4423.065222153542,different period and support; ACS provenance unresolved; not equality test
CHI:30,71410.3003945707,5853.326371951455,11882815.954581944,69554.0,1856.3003945707023,different period and support; ACS provenance unresolved; not equality test
CHI:31,33726.46074317615,4514.400335006549,7570662.2062242115,34176.99999999999,-450.5392568238458,different period and support; ACS provenance unresolved; not equality test
CHI:32,42383.69480736055,8900.309505046576,4301423.448060153,38284.0,4099.694807360553,different period and support; ACS provenance unresolved; not equality test
CHI:33,28798.433260132606,5693.902931264699,4620205.212061252,26307.000000000004,2491.4332601326023,different period and support; ACS provenance unresolved; not equality test
CHI:34,13881.200708027092,5101.253338124166,2577601.841831905,13149.000000000002,732.2007080270905,different period and support; ACS provenance unresolved; not equality test
CHI:35,20291.337787901382,4362.06010047953,4270688.521222364,18629.0,1662.3377879013824,different period and support; ACS provenance unresolved; not equality test
