run_id,district_id,family_id,feature_name,value,unit,numerator,denominator,source_version,observation_period,coverage_fraction,coverage_definition,n_entities,n_missing,method_version,quality_status,missing_reason,primary_feature,method
sp_attributes_2026_09_11_v1,01,M1,street_density_km_km2,22.883473792856876,km/km²,164.21174970518214,7.175997455265782,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,1.0,eligible source records,2006,0,1.0.0,computed,,True,all canonical valid v3 logradouro source lines; carriageways retained; boundary-coincident length owned by ascending district ID
sp_attributes_2026_09_11_v1,01,M6,street_class_model_share_arterial,0.14182957294198614,fraction,23290.082332742306,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,True,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_observed_share_arterial,0.14182957294198614,fraction,23290.082332742306,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,False,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_model_share_coletora,0.278436898147532,fraction,45722.61022728981,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,True,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_observed_share_coletora,0.278436898147532,fraction,45722.61022728981,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,False,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_model_share_local,0.5780042802945604,fraction,94915.0942042543,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,True,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_observed_share_local,0.49482165604537026,fraction,81255.52993122608,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,False,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_model_share_rodovia,0.0,fraction,0.0,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,True,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_observed_share_rodovia,0.0,fraction,0.0,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,False,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_model_share_via_de_pedestres,0.0017292486159214845,fraction,283.9629408957315,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,True,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_observed_share_via_de_pedestres,0.0017292486159214845,fraction,283.9629408957315,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,False,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_model_share_vtr,0.0,fraction,0.0,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,True,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_observed_share_vtr,0.0,fraction,0.0,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,0.9168173757508099,eligible source records,2006,0,1.0.0,assumed_local_residual,,False,class shares of canonical clipped length; all unknown Local
sp_attributes_2026_09_11_v1,01,M6,street_class_imputed_share,0.0831826242491901,fraction,13659.564273028227,164211.74970518216,analysis/processed/SP/sp_prep_2026_09_10_v3,source-specific mixed vintage; see frozen source manifest,1.0,eligible source records,2006,0,1.0.0,diagnostic,,False,
